"시도별(17개)","규모별","산업분류별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","중소규모(5~299인)","C30 자동차 및 트레일러 제조업","2024. 1/2","207847","10667","8326","2341","6334","6342","3",
"전국","중소규모(5~299인)","C30 자동차 및 트레일러 제조업","2024. 2/2","209474","10964","8622","2342","5882","5861","2.7",
"전국","중소규모(5~299인)","C31 기타 운송장비 제조업","2024. 1/2","71585","4584","3571","1013","3580","3074","4.8",
"전국","중소규모(5~299인)","C31 기타 운송장비 제조업","2024. 2/2","74060","3824","2800","1024","2854","2879","3.7",
"전국","중소규모(5~299인)","C32 가구 제조업","2024. 1/2","36683","1321","1113","208","1117","1106","3",
"전국","중소규모(5~299인)","C32 가구 제조업","2024. 2/2","36402","1786","1308","478","1347","1347","3.6",
"전국","중소규모(5~299인)","C33 기타 제품 제조업","2024. 1/2","33387","1465","1213","252","1030","1060","3",
"전국","중소규모(5~299인)","C33 기타 제품 제조업","2024. 2/2","32997","1797","1616","181","853","853","2.5",
"전국","중소규모(5~299인)","C34 산업용 기계 및 장비 수리업","2024. 1/2","29302","1053","816","237","1040","1027","3.4",
"전국","중소규모(5~299인)","C34 산업용 기계 및 장비 수리업","2024. 2/2","31974","1457","1298","159","745","731","2.3",
"전국","중소규모(5~299인)","DS 사회간접자본 및 기타서비스업(35-96)(D-S)","2024. 1/2","8384839","712000","654862","57138","228847","229708","2.7",
"전국","중소규모(5~299인)","DS 사회간접자본 및 기타서비스업(35-96)(D-S)","2024. 2/2","8408901","633139","571907","61232","233237","239247","2.7",
"전국","중소규모(5~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2024. 1/2","40874","498","459","39","275","250",".7",
"전국","중소규모(5~299인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2024. 2/2","41227","561","503","58","323","301",".8",
"전국","중소규모(5~299인)","D35 전기, 가스, 증기 및 공기 조절 공급업","2024. 1/2","40874","498","459","39","275","250",".7",
"전국","중소규모(5~299인)","D35 전기, 가스, 증기 및 공기 조절 공급업","2024. 2/2","41227","561","503","58","323","301",".8",
"전국","중소규모(5~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2024. 1/2","92441","4579","4185","394","1634","1588","1.7",
"전국","중소규모(5~299인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2024. 2/2","92722","3504","3101","403","1625","1626","1.7",
"전국","중소규모(5~299인)","E36 수도업","2024. 1/2","4632","56","54","2","47","38","1",
"전국","중소규모(5~299인)","E36 수도업","2024. 2/2","4667","91","86","5","55","36","1.2",
"전국","중소규모(5~299인)","E37 하수, 폐수 및 분뇨 처리업","2024. 1/2","15769","830","745","85","257","252","1.6",
"전국","중소규모(5~299인)","E37 하수, 폐수 및 분뇨 처리업","2024. 2/2","15753","853","787","66","240","257","1.5",
"전국","중소규모(5~299인)","E38 폐기물 수집, 운반, 처리 및 원료 재생업","2024. 1/2","70553","3660","3358","302","1313","1281","1.8",
"전국","중소규모(5~299인)","E38 폐기물 수집, 운반, 처리 및 원료 재생업","2024. 2/2","70837","2506","2174","332","1313","1317","1.8",
"전국","중소규모(5~299인)","E39 환경 정화 및 복원업","2024. 1/2","1487","32","28","4","17","17","1.1",
"전국","중소규모(5~299인)","E39 환경 정화 및 복원업","2024. 2/2","1466","55","55","0","16","16","1.1",
"전국","중소규모(5~299인)","F.건설업(41~42)","2024. 1/2","1104063","130896","126477","4419","23962","24319","2.1",
"전국","중소규모(5~299인)","F.건설업(41~42)","2024. 2/2","1078637","156097","152807","3290","22212","22458","2",
"전국","중소규모(5~299인)","F41 종합 건설업","2024. 1/2","330899","47849","46531","1318","6750","6896","2",
"전국","중소규모(5~299인)","F41 종합 건설업","2024. 2/2","324032","56003","55058","945","6026","6278","1.8",
"전국","중소규모(5~299인)","F42 전문직별 공사업","2024. 1/2","773165","83048","79946","3102","17213","17423","2.2",
"전국","중소규모(5~299인)","F42 전문직별 공사업","2024. 2/2","754606","100094","97749","2345","16186","16180","2.1",
"전국","중소규모(5~299인)","GI 도매 및 소매업 숙박 및 음식점업(45-47,55-56) (GI)","2024. 1/2","1583736","112596","103020","9576","48284","48009","3",
"전국","중소규모(5~299인)","GI 도매 및 소매업 숙박 및 음식점업(45-47,55-56) (GI)","2024. 2/2","1572844","106238","96012","10226","50004","50827","3.1",
"전국","중소규모(5~299인)","ELS 사업;개인,공공서비스업(36-39,68-96)","2024. 1/2","4268858","382758","360623","22135","97576","99736","2.2",
"전국","중소규모(5~299인)","ELS 사업;개인,공공서비스업(36-39,68-96)","2024. 2/2","4330989","286482","263362","23120","101674","106643","2.3",
"전국","중소규모(5~299인)","DHJK 전기,운수,통신,금융업(DHJK0, 35,49-52,58-66)","2024. 1/2","1428182","85750","64742","21008","59024","57644","4",
"전국","중소규모(5~299인)","DHJK 전기,운수,통신,금융업(DHJK0, 35,49-52,58-66)","2024. 2/2","1426431","84322","59725","24597","59347","59319","4",
"전국","중소규모(5~299인)","G.도매 및 소매업(45~47)","2024. 1/2","1167118","63881","57901","5980","27585","27515","2.3",
"전국","중소규모(5~299인)","G.도매 및 소매업(45~47)","2024. 2/2","1157783","61882","54488","7394","29559","30148","2.5",
"전국","중소규모(5~299인)","G45 자동차 및 부품 판매업","2024. 1/2","63773","1780","1544","236","810","789","1.3",
"전국","중소규모(5~299인)","G45 자동차 및 부품 판매업","2024. 2/2","64727","2036","1350","686","1416","1419","2.1",
"전국","중소규모(5~299인)","G46 도매 및 상품 중개업","2024. 1/2","669972","33022","28715","4307","17603","17427","2.6",
"전국","중소규모(5~299인)","G46 도매 및 상품 중개업","2024. 2/2","666499","31885","27030","4855","17559","18239","2.6",
"전국","중소규모(5~299인)","G47 소매업; 자동차 제외","2024. 1/2","433373","29078","27642","1436","9172","9299","2.1",
"전국","중소규모(5~299인)","G47 소매업; 자동차 제외","2024. 2/2","426558","27962","26108","1854","10585","10490","2.4",
"전국","중소규모(5~299인)","H.운수 및 창고업(49~52)","2024. 1/2","496364","42178","26373","15805","35935","35251","6.8",
"전국","중소규모(5~299인)","H.운수 및 창고업(49~52)","2024. 2/2","496251","44369","24982","19387","38001","38401","7.1",
"전국","중소규모(5~299인)","H49 육상 운송 및 파이프라인 운송업","2024. 1/2","275971","31613","16975","14638","31432","30950","10.2",
"전국","중소규모(5~299인)","H49 육상 운송 및 파이프라인 운송업","2024. 2/2","274531","34196","16227","17969","32500","32263","10.6",
"전국","중소규모(5~299인)","H50 수상 운송업","2024. 1/2","15482","974","836","138","244","255","1.6",
"전국","중소규모(5~299인)","H50 수상 운송업","2024. 2/2","15443","789","691","98","312","330","2",
"전국","중소규모(5~299인)","H51 항공 운송업","2024. 1/2","1750","95","95","0","27","27","1.5",
"전국","중소규모(5~299인)","H51 항공 운송업","2024. 2/2","1829","140","132","8","11","11",".6",
"전국","중소규모(5~299인)","H52 창고 및 운송관련 서비스업","2024. 1/2","203160","9495","8467","1028","4232","4019","2",
"전국","중소규모(5~299인)","H52 창고 및 운송관련 서비스업","2024. 2/2","204448","9244","7932","1312","5178","5797","2.5",
"전국","중소규모(5~299인)","I.숙박 및 음식점업(55~56)","2024. 1/2","416618","48715","45119","3596","20700","20494","4.7",
"전국","중소규모(5~299인)","I.숙박 및 음식점업(55~56)","2024. 2/2","415060","44356","41524","2832","20445","20679","4.7",
"전국","중소규모(5~299인)","I55 숙박업","2024. 1/2","55725","5196","4229","967","3159","3067","5.4",
"전국","중소규모(5~299인)","I55 숙박업","2024. 2/2","55698","5053","4027","1026","2397","2535","4.1",
"전국","중소규모(5~299인)","I56 음식점 및 주점업","2024. 1/2","360893","43519","40890","2629","17540","17427","4.6",
"전국","중소규모(5~299인)","I56 음식점 및 주점업","2024. 2/2","359363","39303","37497","1806","18048","18144","4.8",
"전국","중소규모(5~299인)","J.정보통신업(58~63)","2024. 1/2","484354","31077","26501","4576","18724","18202","3.7",
"전국","중소규모(5~299인)","J.정보통신업(58~63)","2024. 2/2","480911","29419","24818","4601","16443","16210","3.3",
"전국","중소규모(5~299인)","J58 출판업","2024. 1/2","266399","17848","15123","2725","11432","11078","4.1",
"전국","중소규모(5~299인)","J58 출판업","2024. 2/2","264715","16896","13872","3024","10160","10142","3.7",
"전국","중소규모(5~299인)","J59 영상ㆍ오디오 기록물 제작 및 배급업","2024. 1/2","42817","4094","3864","230","1582","1578","3.6",
"전국","중소규모(5~299인)","J59 영상ㆍ오디오 기록물 제작 및 배급업","2024. 2/2","42920","4517","4265","252","1134","1093","2.6",
"전국","중소규모(5~299인)","J60 방송업","2024. 1/2","15573","262","259","3","93","82",".6",
"전국","중소규모(5~299인)","J60 방송업","2024. 2/2","15396","232","215","17","97","93",".6",
"전국","중소규모(5~299인)","J61 우편 및 통신업","2024. 1/2","29659","479","472","7","134","134",".4",
"전국","중소규모(5~299인)","J61 우편 및 통신업","2024. 2/2","28872","213","173","40","123","111",".4",
"전국","중소규모(5~299인)","J62 컴퓨터 프로그래밍, 시스템 통합 및 관리업","2024. 1/2","94740","5502","4220","1282","4044","3939","4.1",
"전국","중소규모(5~299인)","J62 컴퓨터 프로그래밍, 시스템 통합 및 관리업","2024. 2/2","96030","5037","4346","691","3335","3252","3.4",
"전국","중소규모(5~299인)","J63 정보서비스업","2024. 1/2","35166","2892","2564","328","1439","1391","3.9",
"전국","중소규모(5~299인)","J63 정보서비스업","2024. 2/2","32979","2523","1947","576","1594","1519","4.6",
"전국","중소규모(5~299인)","K.금융 및 보험업(64~66)","2024. 1/2","406590","11997","11409","588","4090","3941","1",
"전국","중소규모(5~299인)","K.금융 및 보험업(64~66)","2024. 2/2","408042","9973","9421","552","4580","4407","1.1",
"전국","중소규모(5~299인)","K64 금융업","2024. 1/2","208535","5300","5152","148","1491","1491",".7",
"전국","중소규모(5~299인)","K64 금융업","2024. 2/2","211161","4102","3796","306","1403","1493",".7",
"전국","중소규모(5~299인)","K65 보험 및 연금업","2024. 1/2","100759","1843","1766","77","1363","1232","1.3",
"전국","중소규모(5~299인)","K65 보험 및 연금업","2024. 2/2","96550","2057","2025","32","921","582",".9",
"전국","중소규모(5~299인)","K66 금융 및 보험관련 서비스업","2024. 1/2","97297","4854","4491","363","1237","1217","1.3",
"전국","중소규모(5~299인)","K66 금융 및 보험관련 서비스업","2024. 2/2","100330","3814","3600","214","2256","2332","2.2",
"전국","중소규모(5~299인)","L.부동산업(68)","2024. 1/2","268223","17203","16843","360","1966","1969",".7",
"전국","중소규모(5~299인)","L.부동산업(68)","2024. 2/2","273425","14835","14502","333","1926","2031",".7",
"전국","중소규모(5~299인)","L68 부동산업","2024. 1/2","268223","17203","16843","360","1966","1969",".7",
"전국","중소규모(5~299인)","L68 부동산업","2024. 2/2","273425","14835","14502","333","1926","2031",".7",
"전국","중소규모(5~299인)","M.전문, 과학 및 기술 서비스업(70~73)","2024. 1/2","747893","43384","38501","4883","20276","19888","2.6",
"전국","중소규모(5~299인)","M.전문, 과학 및 기술 서비스업(70~73)","2024. 2/2","749008","40629","35138","5491","21638","21767","2.8",
